Title,Abstract
"#40-45 Берг, Честмир и Власлав, 1846","« кто спалить тот село ? || кто принести вы слеза ? || не Власлав ли гордый ? || больше он не быть || храбровать над вы : || я идти злодей || отомстить за брат ! » || тут сказать Чмир : || « окаянный крувой || завладеть в долина || наш стадо ; || в село внести он горе || меч и пожар ; || все сгубить , что быть || в жизнь мы потреба ; || взять и воевода ! » ||"
"#40-46 Берг, Збигонь, 1846","сизый летать голубчик || по куст зеленый ; || высказывать горе || он темный лес : || ах , ты лес широкий ! || здесь летать я прежде || с дорогой подружка , || с голубица милый ; || да подружка - душка || Збигонь - недруг отнять || и в каменный город || он бедняжка запереть ! || под стена замок || молодец гулять ; || о краса - девица || воздыхать , плакать . || от то ли замок || уходить он в гора ; || на гора садиться || и молчать он долго || вместе с лес темный . || вот лететь голубчик , || жалобно ворковать . || молодец удалый || голубчик молвить : || « что ты , сизый голубчик , || стонать так и плакать ? || али одинокий || ты жить на свет ? || али сокол быстрый || заклевать подружка ? || у я вот сокол || милый похитить || и в каменный замок || дорогой запереть . || ты бы , сизый голубчик , || с сокол подраться , || кабы сердце быть || у голубь храбрый . || ты бы ведь подружка || у злодей отнять , || кабы вострый коготь || у ты случиться . || ты задрать бы , сизый , || вор - лиходей , || лишь родиться ты с клев , || с крепкий , плотоядный » . || « молодец удалый ! || ну-ка подниматься || и ударить ты смело || в Збигонь - злодей ! || у ты ведь сердце || нетрусливый , храбрый ! || у ты ведь латы , || ратный доспехи ; || у ты ведь молот , || молоток железный ! » || и пойти он дол , || и дремучий лес ; || взять броня с себя || и железный молот . || вот под стена замок || молодец приходить . || быть он под стена — || ночь , ни зга не видно ! — || он рука сильный || постучать в ворота . || « кто за ворота ? » || из замок спросить . || — молодой охотник || ночь заблудиться ! — || отпереть ворота . || он еще ударить : || отпереть другой . || « где владыка Збигонь ? » || — в терем высокий ! — || там он затвориться ; || там краса - девица || молодой плакать . || « отворять - ка дверь ! » || Збигонь не послушать . || молодец ударить || молот железный : || распахнуться дверь ! || в голова он после || Збигонь ударить — || Збигонь повалиться . || юноша по замок || побежать и в замок || все побить живой ; || а потом с подружка , || с дорогой , с милой , || спать он до рассвет . || разыграться солнце , || сквозь дерево светить || на каменный город . || разыграться радость || у молодец в сердце , || что краса - девица || обнимать он снова || сильный рука . || « это чей же голубка ? » || — Збигонь тот голубка || изловить в дубрава || да и запереть пташка , || как я бедняжка ! — || « так лететь же , голубка , || ты теперь из замок ! » || вот и полететь || в лес она широкий ; || там и сям порхать || с кустик на кустик ; || с свой ли друг , || с голубочек сизый , || на один на ветка || ночка ночевать . || веселиться дева || с молодец удалый ; || там и сям гулять , || где младой хотеть , || и спать с любезный || на один кровать . ||"
"#40-47 Берг, Три горя, 1847","ах ты дева , дева ! || никто от дева || не прийти печаль , || мой лишь сердце || от она три горе ! || первый я горе — || вороной конь не скакать ; || а другой горе — || молодец не женить ; || третий мой горе — || что мой подруга || не глядеть на друг . || этот я три горе || пуще сам смерть ! || изготовить же , друг , || молодец могила , || в чистый в поле , || в поле широкий , || в глубина копать || на целый сабля ; || в голова воткнуть || длинный вы пика , || за она вязать || конь вороной ; || дать конь корм , || а вода не надо : || пусть мой конь тосковать , || рваться и топотать , || коль душа - девица || тосковать не хотеть . ||"
"#40-48 Ястребов, Песня, 1847","как сегодня солнце || рано , рано встать , || молодец в кручина || ясный застать . || весело на небо || солнышко гулять , || светлый луч || земля осыпать . || но не рад он солнце ! || с темный полночь , || сидеть под окошко , || выплакать он око … || как-то легкий сердце || темный пора || заливать печаль || жаркий слеза ! || не сиять же , солнце ! || не алеть ты , зорька ! || все на этот свет || молодец так горький ! ||"
"#40-49 Фет, Соловей и роза, 1847","я дремать , но слышать || роза соловей ; || ветерок колыхать || сонный я . || звук оставаться || весь в мой листок ; || слышать , ― а проснуться || не мочь никак . || заревый слеза , || наклоняться , лить . || петь у сонный роза || про любовь мой ! ||"
"#40-50 Фет, Спи — ещё зарею, 1847","спать ― еще заря || холодный и рано ; || звезда за гора || блистать среди туман ; || петух недавно || в третий раз пропеть , || с колокольня плавно || звук пролететь . || дышать липа верхушка || нега отрадный , || а угол подушка || влага прохладный . ||"
"#40-51 Михайлов, Современный гидальго, 1848","юноша поджарый , || кудри по плечо … || сюртучишка старый || расползтись по шов … || рыжий шляпенка , || стеклышко в глаз , || завить очень тонко , || угорь на нос . || сморщить лоб широкий , || яма вместо щека , || и в глаз глубокий || светиться упрек … || скверный сигара || у он в зуб … || говорить он с жар , || прогрессивный страх . || весь в дуга согнуться , || словно пуд нести … || слушать ! надуться ― || речь он повести : || « манекен - человек , || вы ли мы понять ? || камень ― ваш грудь . || вы ли мысль приять ? || избрать век || для чреда иной , || выситься над вы || целый мы глава . || суета мирской || занимать вы , ― || ноша мировой || на плечо у мы ! » || юноша умолкнуть , || грозно бровь сжать , || язык прищелкнуть || и сигара взять . || речь не внимать , || все шуметь народ , || и толпа пустой || мимо , вдаль идти . ||"
"#40-52 Жадовская, Грустная картина, 1848","грустный картина ! || облако густой || виться из овин || за деревня дым . || незавидный местность : || скудный земля , || плоский окрестность , || выжать поле . || все как бы в туман , || все как будто спать … || в худенький кафтан || мужичок стоять , || голова качать ― || умолот плохой , || думать - гадать : || как-то быть зима ? || так весь жизнь проходить , || с горе пополам ; || там и смерть приходить , || с она конец труд . || причастить больной || деревенский поп , || принести сосновый || от сосед гроб , || отпеть уныло … || и старуха мать || долго над могила || быть причитать . .. ||"
"#40-53 Щербина, Желанье, 1848","чуждый совершенство || наш жизнь зданье : || цель ее ― блаженство , || а она ― страданье . || все в она пропадать , || все , что так прекрасный , || только зло всплывать || в нагота ужасный . || в этот звучный море || сродный нет звук ; || в сон исходить горе , || страсть вторить мука . || счастье не согреть || ни один минута , || мысль нет привет , || чувство нет приют … || пусть же хрупкий чаша || этот ложь пролиться : || хаос жизнь наш || в стройность развиться . ||"
"#40-54 Щербина, Наши очи малы, 1848","наш око маленький , || большой природа ; || они погасить время , || но она бессмертный . || наш око маленький , || но безбрежность мир || мерить себя || и в себя вмещать . || наш жизнь лишь только || вечность мгновенье , ― || мы же пора в мгновенье || проживать вечность … ||"
"#40-55 Толстой, Стоги, 1840-е","ой стог , стог , || на луг широкий ! || вы не перечесть , || не окинуть око ! || ой стог , стог , || в зеленый болото , || стоять на часы , || что вы стеречь ? || « добрый человек , || быть мы цветок , ― || покосить мы || острый коса ! || раскидать мы || посредине луг , || раскидать врозь || дале друг от друг ! || от лихой гость || нет мы оборона , || на глава у мы || черный ворона ! || на глава у мы , || затмевать звезда , || галка стая вить || поганый гнездо ! || ой орел , орел , || наш отец далекий , || опуститься к мы , || грозный , светлоокий ! || ой орел , орел , || внимать наш стон , || доле мы срамить || не давать ворона ! || наказать скоро || их высокомерье , || с небо в они ударить , || чтоб лететь перо , || чтоб лететь врозь , || чтоб в степь широкий || ветер они разнести || далеко , далеко ! » ||"
"#40-56 Никитин, Тихо ночь ложится, 1849","тихо ночь ложиться || на вершина гора , || и луна глядеться || в зеркало озеро ; || над глухой степь || в неизвестный путь || бесконечный цепь || облако плыть ; || над река широкий , || сумрак покрыть , || в тишина глубокий || лес густой стоять ; || светлый залив || в камыш блестеть , || неподвижный нива || на поле стоять ; || небо голубой || весело глядеть , || и село большой || беззаботно спать . || лишь в мрак ночь || горе и разврат || не смыкать око , || в тишина не спать . ||"
"#40-57 Никитин, Тишина ночи, 1849","в глубина бездонный , || полный чудный сила , || идти миллион || вековой светило . || тускло осветить || бледный луна , || город утомить || смолкнуть в тьма ночной . || спать он , очаровать || чудный тишина , || будто заколдовать || власть неземной . || лишь , объять дремота , || закричать пора || сторож беззаботный || в улица пустой . || казаться , мир сонный , || полный сладкий греза , || отдохнуть спокойно || от забота и слеза . || но взглянуть : вот домик || осветить огонь ; || на стол покойник || ждать могила в он . || он , бедняк голодный , || утешенье чуждый , || кончить век бесплодный || тайный жертва нужда . || дочь не спаться , || в уголок сидеть … || и в глаз мутиться , || и в ухо звенеть . || мочь быть , как нищий , || я на гроб дать , || в гроб на кладбище || старик снести … || и никто не знать , || что в немой тоска || сирота рыдать || в тесный уголок ; || что в нужда до срок , || мочь быть , она || жертва порок || умереть должен . || мир заснуть … и только || с небо видеть бог || тайна жизнь горький || и людской тревога . ||"
"#40-58 Мей, Моравские песни, 1849","у молодка Нана || муж , как лунь седой … || старый муж не верить || Нана молодой ; || раз домекнуться , || что не быть прок , ― || глаз с она не спустить ; || дверь на замок . || « отворить каморка ― || я чуть-чуть живой : || что-то разболеться || сильно голова ― || сильно разболеться , || словно жар гореть … || на двор погодный : || мочь , освежить ― || « что же ? открыть окошко , || прохладиться , мой свет ! || хороший прохлада , || коли друг нет ! » || Нана замолчать , || а в глухой ночь || унести у муж || старый ключ . || « спать , голубчик с бог , || спать , да почивать ! » || и уйти тихонько || в дровяной сарай . || « ты куда ходить , || Нана , с двор ? || волос ― хоть выжать : || шубка весь мокрый … » ― || « а теленок наш || с двор уйти , || да куда же ? ― к соседка || в просо забрести . || загнать насилу : || разбежаться все … || я и перемокнуть , || ходить по роса ! » || видно ― хороший с милый || хоть дрова щипать , || чем с старый муж || золото считать . || видно ― хороший с милый || голый доска , || чем с старый муж || два пуховик … ||"
"#40-59 Огарев, Забыто, 1849","я он сказать : || « возвратиться , милый ! || день пройти и год ― || я не позабыть ; || я все так же , так же , || как в тот ночь ― что знать , || все любить , как прежде , || так , как ты желать » . || он пожать плечо , || не сказать ни слово , || и хотеть он тут же || удалиться снова . || я он схватить , || я он держать || за рука , за платье ― || все не отпускать . || пасть на колено , || целовать рука , || нога целовать , || плакать от мука , || он взглянуть я в око … || тут я показаться , || что я он любить , || что в он сердце сжаться . || он взглянуть я в око ― || отвернуться снова , || и пройти он мимо ― || не сказать ни слово ."
"#40-60 Розенгейм, Книга, 1850","книга … открывать : || « бытопись российский » ! || ну , ты я знать , || знать , степь ливийский . || где ты ни вскрыть , || книга безотрадный , || всюду пред я || тот же жизнь нескладный || всюду зло свобода , || право непризнание , || с жизнь дух народ || в вечный отрицание . || ширина основа , || нищета развитие … || мрачный и суровый || человек и событие : || княжеский брань , || лях да татарщина , || дань , вечно дань ― || и над все боярщина … || хитрый обман , || злостный насилие , || грозный Иван , || темный Василий ; || наглый миньон , || гордо недоступный || всякий Бирон , || мелкий и крупный ; || сумрачный лицо . || темный сказание , ― || редко где страница || светлый предание … || вечно дух народ || давить сила строгий , || а кругом природа || бедный , убогий : || нива неприглядный || тощий раскинуться , || небо безотрадный || серый надвинуться . || глухо бор сосновый || с ветер окликаться , || жалоба суровый || песнь заливаться . || слышно в она , печальный . || словно поминание , ― || скорбный о дальный || старина сказание . ||"
"#40-61 Полонский, Не мои ли страсти, 1850","не мой ли страсть || поднимать буря ? || с буря бороться || не в мой ли власть ? || пронестись буря ― || и дождь и град || пролиться туча || над зеленый сад . || бог ! на листочек || облететь роза || как алмаз блистать || не мой ли слеза ? || или у природа , || как у сердце в жизнь , || быть свой улыбка || и свой невзгода ? ||"
